Date,Open,High,Low,Close,Adj Close,Volume,P.E. ratio,36months return,60months return,120months return,,,,,,,date, value
1/1/2000,1469.25,1478,1350.140015,1394.459961,1394.459961,21494400000,27.3692,-15.0%,-3.3%,-2.6%,,,,0.123459594,,,1/12/1927,15.9099
1/2/2000,1394.459961,1444.550049,1325.069946,1366.420044,1366.420044,20912000000,26.8188,-14.9%,-2.5%,-2.1%,,,,0.24367745,,,1/1/1928,14.8898
1/3/2000,1366.420044,1552.869995,1346.619995,1498.579956,1498.579956,26156200000,29.4128,-17.3%,-4.7%,-2.4%,,,,0.058252134,,,1/2/1928,14.6271
1/4/2000,1498.579956,1527.189941,1339.400024,1452.430054,1452.430054,20106460000,27.9744,-14.2%,-4.4%,-2.0%,,,,,,,1/3/1928,16.339
1/5/2000,1452.430054,1481.51001,1361.089966,1420.599976,1420.599976,19898300000,27.3613,-12.1%,-3.5%,-2.6%,,,,,,,1/4/1928,15.8
1/6/2000,1420.599976,1488.930054,1420.599976,1454.599976,1454.599976,21738300000,28.0162,-12.5%,-3.9%,-3.4%,,,,,,,1/5/1928,16
1/7/2000,1454.599976,1517.319946,1413.890015,1430.829956,1430.829956,19089100000,26.6449,-11.5%,-2.9%,-2.6%,,,,,,,1/6/1928,15.312
1/8/2000,1430.829956,1525.209961,1425.430054,1517.680054,1517.680054,20363700000,28.2622,-12.8%,-4.3%,-3.6%,, S&P 500 , PE ,,,,1/7/1928,14.8321
1/9/2000,1517.680054,1530.089966,1419.439941,1436.51001,1436.51001,20838300000,26.7507,-11.5%,-3.1%,-2.3%,, Average , 25.92 ,,,,1/8/1928,15.9313
1/10/2000,1436.52002,1454.819946,1305.790039,1429.400024,1429.400024,25951400000,28.588,-9.8%,-3.3%,-1.9%,,,,,,,1/9/1928,16.1374
1/11/2000,1429.400024,1438.459961,1294.900024,1314.949951,1314.949951,20532300000,26.299,-7.0%,-1.0%,-1.1%,,25%, 18.52 ,,,,1/10/1928,15.7101
1/12/2000,1314.949951,1389.050049,1254.069946,1320.280029,1320.280029,23610800000,26.4056,-5.6%,-1.1%,-0.5%,, Median , 22.41 ,,,,1/11/1928,17.5942
1/1/2001,1320.280029,1383.369995,1274.619995,1366.01001,1366.01001,27829800000,30.0618,-6.1%,-1.3%,-0.6%,,75%, 26.93 ,,,,1/12/1928,17.6449
1/2/2001,1366.01001,1376.380005,1215.439941,1239.939941,1239.939941,21644400000,27.2874,-2.6%,0.6%,0.7%,,,,,,,1/1/1929,17.875
1/3/2001,1239.939941,1267.420044,1081.189941,1160.329956,1160.329956,27806610000,25.5354,-1.0%,2.2%,1.3%,,,,,,,1/2/1929,17.7708
1/4/2001,1160.329956,1269.300049,1091.98999,1249.459961,1249.459961,25409990000,33.9619,-3.9%,1.0%,0.9%,,,,,,,1/3/1929,17.7292
1/5/2001,1249.459961,1315.930054,1232,1255.819946,1255.819946,24525900000,34.1348,-3.7%,0.2%,0.7%,,,,,,,1/4/1929,17.2933
1/6/2001,1255.819946,1286.619995,1203.030029,1224.380005,1224.380005,24748030000,33.2802,-2.3%,0.7%,0.8%,,,,,,,1/5/1929,16.5533
1/7/2001,1224.420044,1239.780029,1165.540039,1211.22998,1211.22998,23793710000,42.7845,-3.1%,1.1%,0.6%,,,,,,,1/6/1929,18.2733
1/8/2001,1211.22998,1226.27002,1124.869995,1133.579956,1133.579956,23359200000,40.0417,-0.9%,2.8%,0.7%,,,,,,,1/7/1929,18.6323
1/9/2001,1133.579956,1155.400024,944.75,1040.939941,1040.939941,25025290000,36.7693,2.3%,5.1%,0.8%,,,,,,,1/8/1929,20.4581
1/10/2001,1040.939941,1110.609985,1026.76001,1059.780029,1059.780029,29951280000,42.9235,2.2%,5.4%,1.7%,,,,,,,1/9/1929,19.4581
1/11/2001,1059.780029,1163.380005,1054.310059,1139.449951,1139.449951,26330000000,46.1503,1.0%,4.2%,0.9%,,,,,,,1/10/1929,15
1/12/2001,1139.449951,1173.619995,1114.530029,1148.079956,1148.079956,25128570000,46.4998,1.8%,4.3%,0.9%,,,,,,,1/11/1929,12.9938
1/1/2002,1148.079956,1176.969971,1081.660034,1130.199951,1130.199951,29746200000,45.7571,1.5%,4.9%,1.5%,,,,,,,1/12/1929,13.323
1/2/2002,1130.199951,1130.199951,1074.359985,1106.72998,1106.72998,26047600000,44.8069,2.8%,4.9%,2.1%,,,,,,,1/1/1930,15.7172
1/3/2002,1106.72998,1173.939941,1106.72998,1147.390015,1147.390015,26563200000,46.453,1.0%,4.4%,2.1%,,,,,,,1/2/1930,16.0552
1/4/2002,1147.390015,1147.839966,1063.459961,1076.920044,1076.920044,28568900000,40.2737,2.4%,6.6%,2.6%,,,,,,,1/3/1930,16.6552
1/5/2002,1076.920044,1106.589966,1048.959961,1067.140015,1067.140015,26905500000,39.908,3.7%,7.5%,2.1%,,,,,,,1/4/1930,19.3023
1/6/2002,1067.140015,1070.73999,952.9199829,989.8200073,989.8200073,29981510000,37.0165,6.4%,8.7%,3.2%,,,,,,,1/5/1930,18.9845
1/7/2002,989.8200073,994.460022,775.6799927,911.6199951,911.6199951,42228720000,30.3469,10.6%,9.8%,4.2%,,,,,,,1/6/1930,15.8605
