Date,Open,High,Low,Close,Adj Close,Volume,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change,,,,,,,HS Index,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change
3/1/2005,14216.04004,14267.20996,14150.01953,14237.41992,14237.41992,145563000,,,,,,,,,,,Average,0.01%,0.07%,0.15%,0.29%
4/1/2005,14198.50977,14198.50977,13991.2002,14045.90039,14045.90039,397498200,-1.35%,,,,,,,,,,Mean,0.04%,0.19%,0.24%,0.49%
5/1/2005,13939.01953,13941.12988,13709.58008,13764.36035,13764.36035,530200600,-2.00%,,,,,,,,,,S.D.,1.48%,3.21%,4.42%,6.15%
6/1/2005,13718.79004,13789.15039,13672.55957,13712.04004,13712.04004,418761600,-0.38%,,,,,,,,,,PoP,51.79%,52.85%,52.53%,53.38%
7/1/2005,13698.16016,13771.4502,13403,13574.86035,13574.86035,571206400,-1.00%,,,,,,,,,,Profit Factor, 1.03 , 1.06 , 1.09 , 1.14 
10/1/2005,13573.41992,13605.01953,13435.42969,13531.38965,13531.38965,317377800,-0.32%,-4.96%,,,,,,,,,Average Up,1.00%,2.30%,3.27%,4.61%
11/1/2005,13609.30957,13649.42969,13455.30957,13509.25,13509.25,340797200,-0.16%,-3.82%,,,,,,,,,Average Down,-1.04%,-2.43%,-3.31%,-4.64%
12/1/2005,13456.54004,13565.30957,13352.70996,13565.30957,13565.30957,336973200,0.41%,-1.45%,,,,,,,,,Odds, 0.96 , 0.95 , 0.99 , 0.99 
13/1/2005,13570.21973,13631.41016,13533.00977,13573.28027,13573.28027,396311200,0.06%,-1.01%,,,,,,,,,Expectency,1.43%,3.05%,4.46%,6.34%
14/1/2005,13509.45996,13582.54004,13411.30957,13494.78027,13494.78027,473364600,-0.58%,-0.59%,,,,,,,,,Daily E.V.,7.95%,1.37%,1.41%,1.42%
17/1/2005,13529.08008,13636.76953,13528.11035,13621.65039,13621.65039,261016000,0.94%,0.67%,-4.33%,,,,,,,,,,,,
18/1/2005,13621.95996,13621.95996,13489.99023,13604.21973,13604.21973,289845400,-0.13%,0.70%,-3.14%,,,,,,,,,,,,
19/1/2005,13634.00977,13700.94043,13586.33984,13678.62988,13678.62988,304025000,0.55%,0.84%,-0.62%,,,,,,,,,,,,
20/1/2005,13550.98047,13585.66992,13500.58008,13543.58984,13543.58984,460342600,-0.99%,-0.22%,-1.23%,,,,,,,,,,,,
21/1/2005,13495.92969,13518.69043,13432.45996,13481.01953,13481.01953,476200200,-0.46%,-0.10%,-0.69%,,,,,,,,,,,,
24/1/2005,13449.87988,13483.12988,13320.53027,13386.99023,13386.99023,450783600,-0.70%,-1.72%,-1.07%,,,,,,,,,,,,
25/1/2005,13378.83984,13594.86035,13356.24023,13584.05957,13584.05957,319826200,1.47%,-0.15%,0.55%,,,,,,,,,,,,
26/1/2005,13599.2002,13652.4502,13558.03027,13623.67969,13623.67969,365578200,0.29%,-0.40%,0.43%,,,,,,,,,,,,
27/1/2005,13636.74023,13750.48047,13596.41016,13628.91016,13628.91016,374447400,0.04%,0.63%,0.41%,,,,,,,,,,,,
28/1/2005,13633.67969,13679.30957,13559.98047,13650.05957,13650.05957,268381200,0.16%,1.25%,1.15%,,,,,,,,,,,,
31/1/2005,13625.23047,13762.86035,13581.19043,13721.69043,13721.69043,352642200,0.52%,2.50%,0.73%,-3.62%,,,,,,,,,,,
1/2/2005,13714.41992,13736.63965,13522.42969,13578.25977,13578.25977,407254000,-1.05%,-0.04%,-0.19%,-3.33%,,,,,,,,,,,
