,0
start,2006-06-21 00:00:00
end,2022-01-13 00:00:00
rf,0.0
total_return,39.238795919901726
cagr,0.2679299611619026
max_drawdown,-0.8312887258765894
calmar,0.3223067423167226
mtd,-0.10053917418271763
three_month,0.08790762710379774
six_month,0.0677423919958402
ytd,-0.10053917418271763
one_year,0.3730601317059996
three_year,0.6516117502894441
five_year,0.4721288158808592
ten_year,0.40173249982385206
incep,0.2679299611619026
daily_sharpe,0.7680594760962758
daily_sortino,1.2084081570514729
daily_mean,0.33134356530712095
daily_vol,0.43140352488221534
daily_skew,-0.19911585373528431
daily_kurt,9.013766018834405
best_day,0.24587131132662576
worst_day,-0.2428097931933404
monthly_sharpe,0.8427112557059188
monthly_sortino,1.4997278083903167
monthly_mean,0.30700352299053835
monthly_vol,0.3643045241318973
monthly_skew,-0.439244350104704
monthly_kurt,0.8125611403402035
best_month,0.30587185717582943
worst_month,-0.33600622624741383
yearly_sharpe,0.7469745607569203
yearly_sortino,1.9612969362444501
yearly_mean,0.3567288596025975
yearly_vol,0.477564937741814
yearly_skew,-0.35621554736061317
yearly_kurt,0.5336412441337535
best_year,1.2119733803785873
worst_year,-0.7288732588766111
avg_drawdown,-0.04763781746576259
avg_drawdown_days,26.376963350785342
avg_up_month,0.08647783339760201
avg_down_month,-0.0834806234991495
win_year_perc,0.8125
twelve_month_win_perc,0.8135593220338984
