,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,
2004,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0
2005,-0.8%,1.2%,-1.3%,1.1%,0.8%,2.2%,-0.3%,1.2%,1.6%,-1.7%,3.6%,2.6%,10.6%,4
2006,3.7%,0.1%,0.3%,3.5%,-1.5%,-1.2%,1.9%,1.3%,0.1%,1.8%,3.7%,-1.1%,13.1%,3
2007,1.0%,1.3%,-0.6%,2.5%,-0.4%,-1.5%,0.9%,1.4%,4.9%,3.4%,-0.1%,1.7%,15.3%,4
2008,2.3%,0.9%,-1.8%,-0.6%,-0.1%,-0.7%,-0.9%,-1.6%,-1.5%,-11.5%,7.1%,8.2%,-1.5%,8
2009,-5.2%,-3.4%,2.8%,-0.1%,4.3%,-1.6%,3.5%,2.0%,3.9%,-0.3%,6.8%,-4.0%,8.3%,6
2010,-0.7%,2.0%,1.2%,3.6%,0.1%,1.3%,0.3%,3.0%,3.6%,1.0%,0.2%,2.0%,18.8%,1
2011,-2.4%,3.7%,0.5%,4.7%,0.1%,-2.2%,3.6%,5.8%,-1.5%,4.3%,1.0%,-2.2%,16.3%,4
2012,5.2%,-0.4%,-0.6%,1.3%,-0.9%,1.4%,1.9%,2.0%,1.6%,-1.7%,0.4%,-1.3%,9.0%,5
2013,0.5%,-0.8%,1.5%,-0.3%,-3.5%,-4.9%,3.4%,0.4%,-0.5%,1.9%,-1.7%,-0.9%,-5.1%,7
2014,2.1%,3.7%,-0.6%,1.1%,0.8%,2.6%,-1.4%,3.0%,-3.2%,0.7%,1.8%,1.4%,12.5%,3
2015,5.2%,-2.4%,-0.9%,-0.9%,-0.1%,-2.5%,0.1%,-1.2%,-0.7%,3.5%,-2.4%,-0.9%,-3.5%,9
2016,2.0%,4.8%,1.7%,1.6%,-1.3%,5.4%,2.6%,-1.4%,-0.3%,-3.0%,-4.2%,0.0%,7.6%,6
2017,2.7%,2.9%,-0.3%,1.4%,1.1%,-0.2%,1.2%,2.6%,-1.3%,0.5%,1.4%,1.7%,14.6%,3
2018,1.9%,-2.9%,0.2%,-0.8%,1.1%,-0.8%,0.0%,0.8%,-0.9%,-2.6%,1.3%,0.8%,-2.0%,5
2019,3.8%,0.5%,1.9%,0.5%,0.6%,5.2%,0.6%,5.7%,-1.5%,1.2%,0.0%,1.2%,21.2%,1
2020,4.1%,-0.5%,-1.4%,7.1%,2.0%,1.7%,7.0%,0.5%,-2.5%,-2.1%,2.3%,3.1%,22.8%,4
2021,-2.6%,-3.0%,-0.4%,3.8%,2.8%,-0.3%,2.9%,0.8%,-3.6%,3.7%,1.9%,0.0%,5.6%,5
