,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,
2010,0.0%,5.0%,4.5%,6.9%,-0.6%,3.0%,3.2%,4.3%,9.0%,2.1%,-1.1%,4.3%,48.3%,2
2011,-3.2%,6.8%,-0.1%,8.1%,1.1%,-5.2%,7.1%,8.0%,7.3%,8.1%,-0.6%,-1.9%,40.1%,5
2012,10.2%,2.2%,1.1%,3.2%,1.8%,0.8%,4.6%,3.8%,1.0%,-5.1%,1.6%,-3.3%,23.5%,2
2013,0.4%,-0.4%,3.3%,3.1%,-6.0%,-9.3%,6.2%,-0.9%,2.3%,5.4%,-1.4%,-0.1%,1.5%,6
2014,4.6%,6.9%,-1.6%,1.9%,4.5%,4.4%,-1.2%,8.8%,-5.5%,3.1%,6.2%,2.0%,38.7%,3
2015,10.3%,-3.7%,-2.0%,-2.0%,-0.4%,-6.1%,4.3%,-5.9%,-1.2%,10.0%,-2.9%,-3.0%,-4.2%,9
2016,2.0%,6.6%,4.0%,0.0%,0.4%,8.6%,7.7%,-1.8%,-0.2%,-6.7%,-8.3%,0.5%,12.0%,4
2017,5.7%,6.5%,0.1%,3.6%,3.9%,-1.3%,3.0%,5.4%,-2.8%,2.6%,2.9%,3.0%,37.5%,2
2018,5.3%,-6.7%,-1.4%,-2.5%,4.6%,-0.4%,0.4%,4.5%,-2.8%,-9.0%,1.8%,1.1%,-6.0%,6
2019,8.9%,1.6%,6.8%,2.0%,-0.7%,9.7%,1.6%,11.3%,-3.6%,2.5%,1.8%,2.1%,52.5%,2
2020,10.0%,0.1%,-5.0%,16.3%,5.1%,5.6%,14.2%,4.5%,-7.2%,-6.1%,9.0%,6.7%,63.4%,3
2021,-5.2%,-6.3%,-1.6%,8.5%,2.3%,5.0%,6.6%,2.8%,-9.0%,9.7%,0.5%,0.0%,11.9%,4
