,Date,spy,portfolio,spy_rb,portfolio_rb
0,2004-12-31,86.68037414550781,100.0,86.68037414550781,100
1,2005-01-03,86.27161407470703,99.52842834975007,0.0,100
2,2005-01-04,85.2174301147461,inf,0.0,100
3,2005-01-05,84.62935638427734,inf,0.0,100
4,2005-01-06,85.05963897705078,inf,0.0,100
5,2005-01-07,84.93778228759766,inf,0.0,100
6,2005-01-10,85.33932495117188,inf,0.0,100
7,2005-01-11,84.75125122070312,inf,0.0,100
8,2005-01-12,85.03095245361328,inf,0.0,100
9,2005-01-13,84.34969329833984,inf,0.0,100
10,2005-01-14,84.79430389404297,inf,0.0,100
11,2005-01-18,85.67639923095703,inf,0.0,100
12,2005-01-19,84.77995300292969,inf,0.0,100
13,2005-01-20,84.26363372802734,inf,0.0,100
14,2005-01-21,83.7472915649414,inf,0.0,100
15,2005-01-24,83.58235168457031,inf,0.0,100
16,2005-01-25,83.81901550292969,inf,0.0,100
17,2005-01-26,84.07002258300781,inf,0.0,100
18,2005-01-27,84.21341705322266,inf,0.0,100
19,2005-01-28,84.21341705322266,inf,0.0,100
20,2005-01-31,84.7369384765625,inf,0.0,100
21,2005-02-01,85.2747802734375,inf,0.0,100
22,2005-02-02,85.532958984375,inf,0.0,100
23,2005-02-03,85.31062316894531,inf,0.0,100
24,2005-02-04,86.2214126586914,inf,0.0,100
25,2005-02-07,86.1066665649414,inf,0.0,100
26,2005-02-08,86.20706939697266,inf,0.0,100
27,2005-02-09,85.56166076660156,inf,0.0,100
28,2005-02-10,85.8699951171875,inf,0.0,100
29,2005-02-11,86.60865783691406,inf,0.0,100
30,2005-02-14,86.54413604736328,inf,0.0,100
31,2005-02-15,86.8667984008789,inf,0.0,100
32,2005-02-16,86.92420959472656,inf,0.0,100
33,2005-02-17,86.2214126586914,inf,0.0,100
34,2005-02-18,86.33613586425781,inf,0.0,100
35,2005-02-22,85.05244445800781,inf,0.0,100
36,2005-02-23,85.66204833984375,inf,0.0,100
37,2005-02-24,86.22858428955078,inf,0.0,100
38,2005-02-25,87.08197021484375,inf,0.0,100
39,2005-02-28,86.50825500488281,inf,0.0,100
40,2005-03-01,86.93856811523438,inf,0.0,100
41,2005-03-02,86.89551544189453,inf,0.0,100
42,2005-03-03,86.931396484375,inf,0.0,100
43,2005-03-04,88.01422882080078,inf,0.0,100
44,2005-03-07,88.05730438232422,inf,0.0,100
45,2005-03-08,87.72737121582031,inf,0.0,100
46,2005-03-09,86.7520980834961,inf,0.0,100
47,2005-03-10,86.94571685791016,inf,0.0,100
48,2005-03-11,86.33613586425781,inf,0.0,100
49,2005-03-14,86.87401580810547,inf,0.0,100
50,2005-03-15,86.15685272216797,inf,0.0,100
51,2005-03-16,85.4253921508789,inf,0.0,100
52,2005-03-17,85.5975112915039,inf,0.0,100
53,2005-03-18,85.34334564208984,inf,0.0,100
54,2005-03-21,85.0265884399414,inf,0.0,100
55,2005-03-22,84.16263580322266,inf,0.0,100
56,2005-03-23,84.23461151123047,inf,0.0,100
57,2005-03-24,84.3354263305664,inf,0.0,100
58,2005-03-28,84.45782470703125,inf,0.0,100
59,2005-03-29,83.89622497558594,inf,0.0,100
60,2005-03-30,85.08415985107422,inf,0.0,100
61,2005-03-31,84.92575073242188,inf,0.0,100
62,2005-04-01,84.54419708251953,inf,0.0,100
63,2005-04-04,84.68816375732422,inf,0.0,100
64,2005-04-05,85.09136962890625,inf,0.0,100
65,2005-04-06,85.38653564453125,inf,0.0,100
66,2005-04-07,85.8473129272461,inf,0.0,100
67,2005-04-08,84.9545669555664,inf,0.0,100
68,2005-04-11,85.01939392089844,inf,0.0,100
69,2005-04-12,85.45853424072266,inf,0.0,100
70,2005-04-13,84.45059967041016,inf,0.0,100
71,2005-04-14,83.34911346435547,inf,0.0,100
72,2005-04-15,82.1827621459961,inf,0.0,100
73,2005-04-18,82.43474578857422,inf,0.0,100
